ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,1,2019,Elec- Agricultural,Y,0,0,NA
93101,2,2019,Elec- Agricultural,Y,0,0,NA
93101,3,2019,Elec- Agricultural,Y,0,0,NA
93110,1,2019,Elec- Agricultural,Y,0,0,NA
93110,2,2019,Elec- Agricultural,Y,0,0,NA
93110,3,2019,Elec- Agricultural,Y,0,0,NA
93117,1,2019,Elec- Agricultural,Y,0,0,NA
93117,2,2019,Elec- Agricultural,Y,0,0,NA
93117,3,2019,Elec- Agricultural,Y,0,0,NA
93202,1,2019,Elec- Agricultural,Y,0,0,NA
93202,2,2019,Elec- Agricultural,Y,0,0,NA
93202,3,2019,Elec- Agricultural,Y,0,0,NA
93203,1,2019,Elec- Agricultural,Y,0,0,NA
93203,2,2019,Elec- Agricultural,Y,0,0,NA
93203,3,2019,Elec- Agricultural,Y,0,0,NA
93204,1,2019,Elec- Agricultural,Y,0,0,NA
93204,2,2019,Elec- Agricultural,Y,0,0,NA
93204,3,2019,Elec- Agricultural,Y,0,0,NA
93206,1,2019,Elec- Agricultural,Y,0,0,NA
93206,2,2019,Elec- Agricultural,Y,0,0,NA
93206,3,2019,Elec- Agricultural,Y,0,0,NA
93210,1,2019,Elec- Agricultural,Y,0,0,NA
93210,2,2019,Elec- Agricultural,Y,0,0,NA
93210,3,2019,Elec- Agricultural,Y,0,0,NA
93212,1,2019,Elec- Agricultural,Y,0,0,NA
93212,2,2019,Elec- Agricultural,Y,0,0,NA
93212,3,2019,Elec- Agricultural,Y,0,0,NA
93215,1,2019,Elec- Agricultural,Y,0,0,NA
93215,2,2019,Elec- Agricultural,Y,0,0,NA
93215,3,2019,Elec- Agricultural,Y,0,0,NA
93219,1,2019,Elec- Agricultural,Y,0,0,NA
93219,2,2019,Elec- Agricultural,Y,0,0,NA
93219,3,2019,Elec- Agricultural,Y,0,0,NA
93224,2,2019,Elec- Agricultural,Y,0,0,NA
93224,3,2019,Elec- Agricultural,Y,0,0,NA
93225,1,2019,Elec- Agricultural,Y,0,0,NA
93225,2,2019,Elec- Agricultural,Y,0,0,NA
93225,3,2019,Elec- Agricultural,Y,0,0,NA
93230,1,2019,Elec- Agricultural,Y,0,0,NA
93230,2,2019,Elec- Agricultural,Y,0,0,NA
93230,3,2019,Elec- Agricultural,Y,439,4908338,11181
93234,1,2019,Elec- Agricultural,Y,480,8389948,17479
93234,2,2019,Elec- Agricultural,Y,0,0,NA
93234,3,2019,Elec- Agricultural,Y,0,0,NA
93239,1,2019,Elec- Agricultural,Y,0,0,NA
93239,2,2019,Elec- Agricultural,Y,0,0,NA
93239,3,2019,Elec- Agricultural,Y,0,0,NA
93241,1,2019,Elec- Agricultural,Y,0,0,NA
93241,2,2019,Elec- Agricultural,Y,0,0,NA
93241,3,2019,Elec- Agricultural,Y,0,0,NA
93242,1,2019,Elec- Agricultural,Y,0,0,NA
93242,2,2019,Elec- Agricultural,Y,0,0,NA
93242,3,2019,Elec- Agricultural,Y,0,0,NA
93243,1,2019,Elec- Agricultural,Y,0,0,NA
93243,2,2019,Elec- Agricultural,Y,0,0,NA
93243,3,2019,Elec- Agricultural,Y,0,0,NA
93245,1,2019,Elec- Agricultural,Y,0,0,NA
