ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,1,2020,Gas- Commercial,Y,0,0,NA
92304,2,2020,Gas- Commercial,Y,0,0,NA
92304,3,2020,Gas- Commercial,Y,0,0,NA
92365,1,2020,Gas- Commercial,Y,0,0,NA
92365,2,2020,Gas- Commercial,Y,0,0,NA
92365,3,2020,Gas- Commercial,Y,0,0,NA
93203,1,2020,Gas- Commercial,Y,0,0,NA
93203,2,2020,Gas- Commercial,Y,0,0,NA
93203,3,2020,Gas- Commercial,Y,0,0,NA
93204,1,2020,Gas- Commercial,Y,0,0,NA
93204,2,2020,Gas- Commercial,Y,0,0,NA
93204,3,2020,Gas- Commercial,Y,114,25218,221
93210,1,2020,Gas- Commercial,Y,0,0,NA
93210,2,2020,Gas- Commercial,Y,0,0,NA
93210,3,2020,Gas- Commercial,Y,0,0,NA
93224,1,2020,Gas- Commercial,Y,0,0,NA
93224,2,2020,Gas- Commercial,Y,0,0,NA
93224,3,2020,Gas- Commercial,Y,0,0,NA
93234,1,2020,Gas- Commercial,Y,0,0,NA
93234,2,2020,Gas- Commercial,Y,0,0,NA
93234,3,2020,Gas- Commercial,Y,0,0,NA
93239,1,2020,Gas- Commercial,Y,46,17588,382
93239,2,2020,Gas- Commercial,Y,0,0,NA
93239,3,2020,Gas- Commercial,Y,0,0,NA
93252,1,2020,Gas- Commercial,Y,0,0,NA
93252,2,2020,Gas- Commercial,Y,0,0,NA
93252,3,2020,Gas- Commercial,Y,0,0,NA
93263,1,2020,Gas- Commercial,Y,0,0,NA
93263,2,2020,Gas- Commercial,Y,0,0,NA
93263,3,2020,Gas- Commercial,Y,0,0,NA
93268,1,2020,Gas- Commercial,Y,0,0,NA
93268,2,2020,Gas- Commercial,Y,0,0,NA
93268,3,2020,Gas- Commercial,Y,0,0,NA
93301,1,2020,Gas- Commercial,N,1152,383269,333
93301,2,2020,Gas- Commercial,N,1148,253914,221
93301,3,2020,Gas- Commercial,N,1149,182913,159
93304,1,2020,Gas- Commercial,N,604,195002,323
93304,2,2020,Gas- Commercial,N,602,147327,245
93304,3,2020,Gas- Commercial,N,601,116071,193
93305,1,2020,Gas- Commercial,N,478,158377,331
93305,2,2020,Gas- Commercial,N,475,116010,244
93305,3,2020,Gas- Commercial,N,480,90540,189
93306,1,2020,Gas- Commercial,N,368,189395,515
93306,2,2020,Gas- Commercial,N,370,142963,386
93306,3,2020,Gas- Commercial,N,372,110579,297
93307,1,2020,Gas- Commercial,Y,672,321462,478
