CUSTOMERCLASS,DATE,TOTALKBTU
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,8880492.244
Elec- Commercial,2017-02-01,12377176.914
Elec- Commercial,2017-03-01,13628619.804
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,21893902.164
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,8200110.996
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,1315706.216
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,3542052.008
Elec- Commercial,2017-02-01,3185893.74
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,5002327.928
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,18911352.38
Elec- Commercial,2017-02-01,30079814.462
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,8212427.636
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,96168893.822
Elec- Commercial,2017-02-01,22320321.836
Elec- Commercial,2017-03-01,25191390.318
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,41531163.372
Elec- Commercial,2017-02-01,37067279.984
Elec- Commercial,2017-03-01,43778042.134
Elec- Commercial,2017-01-01,301346172.26
Elec- Commercial,2017-02-01,267972118.472
Elec- Commercial,2017-03-01,291170387.374
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,21002934.65
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,26326912.26
Elec- Commercial,2017-02-01,23249078.184
Elec- Commercial,2017-03-01,76806796.406
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,43503491.032
Elec- Commercial,2017-02-01,82890924.36
Elec- Commercial,2017-03-01,43371633.86
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,17916127.022
Elec- Commercial,2017-02-01,16060219.888
Elec- Commercial,2017-03-01,16764599.732
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,11131455.606
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,18063581.082
Elec- Commercial,2017-02-01,15639166.752
Elec- Commercial,2017-03-01,18107999.536
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,9798157.332
Elec- Commercial,2017-01-01,4335828.036
Elec- Commercial,2017-02-01,3884790.794
Elec- Commercial,2017-03-01,4014131.224
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,437818.848
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,6978969.554
Elec- Commercial,2017-02-01,6256121.034
Elec- Commercial,2017-03-01,6857393.006
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
