ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93117,1,2017,Elec- Agricultural,Y,0,0,NA
93117,2,2017,Elec- Agricultural,Y,0,0,NA
93117,3,2017,Elec- Agricultural,Y,0,0,NA
93203,1,2017,Elec- Agricultural,Y,0,0,NA
93203,2,2017,Elec- Agricultural,Y,0,0,NA
93203,3,2017,Elec- Agricultural,Y,158,5041211,31906
93204,1,2017,Elec- Agricultural,Y,0,0,NA
93204,2,2017,Elec- Agricultural,Y,0,0,NA
93204,3,2017,Elec- Agricultural,Y,0,0,NA
93206,1,2017,Elec- Agricultural,Y,302,8809508,29171
93206,2,2017,Elec- Agricultural,Y,0,0,NA
93206,3,2017,Elec- Agricultural,Y,0,0,NA
93210,1,2017,Elec- Agricultural,Y,0,0,NA
93210,2,2017,Elec- Agricultural,Y,0,0,NA
93210,3,2017,Elec- Agricultural,Y,132,2304934,17462
93212,1,2017,Elec- Agricultural,Y,0,0,NA
93212,2,2017,Elec- Agricultural,Y,312,4646107,14891
93212,3,2017,Elec- Agricultural,Y,256,5734852,22402
93215,1,2017,Elec- Agricultural,Y,0,0,NA
93215,2,2017,Elec- Agricultural,Y,0,0,NA
93215,3,2017,Elec- Agricultural,Y,0,0,NA
93219,1,2017,Elec- Agricultural,Y,0,0,NA
93219,2,2017,Elec- Agricultural,Y,0,0,NA
93219,3,2017,Elec- Agricultural,Y,0,0,NA
93225,1,2017,Elec- Agricultural,Y,0,0,NA
93225,2,2017,Elec- Agricultural,Y,0,0,NA
93225,3,2017,Elec- Agricultural,Y,0,0,NA
93230,1,2017,Elec- Agricultural,Y,0,0,NA
93230,2,2017,Elec- Agricultural,N,374,1368184,3658
93230,3,2017,Elec- Agricultural,N,379,1821832,4807
93234,1,2017,Elec- Agricultural,Y,0,0,NA
93234,2,2017,Elec- Agricultural,Y,0,0,NA
93234,3,2017,Elec- Agricultural,Y,0,0,NA
93239,1,2017,Elec- Agricultural,Y,0,0,NA
93239,2,2017,Elec- Agricultural,Y,0,0,NA
93239,3,2017,Elec- Agricultural,Y,0,0,NA
93241,1,2017,Elec- Agricultural,Y,0,0,NA
93241,2,2017,Elec- Agricultural,Y,0,0,NA
93241,3,2017,Elec- Agricultural,Y,0,0,NA
93242,1,2017,Elec- Agricultural,Y,0,0,NA
93242,2,2017,Elec- Agricultural,Y,0,0,NA
93242,3,2017,Elec- Agricultural,Y,0,0,NA
93243,1,2017,Elec- Agricultural,Y,0,0,NA
93243,2,2017,Elec- Agricultural,Y,0,0,NA
93243,3,2017,Elec- Agricultural,Y,0,0,NA
93245,1,2017,Elec- Agricultural,Y,0,0,NA
93245,2,2017,Elec- Agricultural,Y,0,0,NA
93245,3,2017,Elec- Agricultural,Y,596,2945390,4942
93249,1,2017,Elec- Agricultural,Y,0,0,NA
93249,2,2017,Elec- Agricultural,Y,0,0,NA
93249,3,2017,Elec- Agricultural,Y,0,0,NA
93250,1,2017,Elec- Agricultural,Y,0,0,NA
93250,2,2017,Elec- Agricultural,Y,0,0,NA
93250,3,2017,Elec- Agricultural,Y,0,0,NA
93251,1,2017,Elec- Agricultural,Y,0,0,NA
93251,2,2017,Elec- Agricultural,Y,0,0,NA
93251,3,2017,Elec- Agricultural,Y,0,0,NA
93252,1,2017,Elec- Agricultural,Y,0,0,NA
93252,2,2017,Elec- Agricultural,Y,0,0,NA
93252,3,2017,Elec- Agricultural,Y,0,0,NA
93254,1,2017,Elec- Agricultural,Y,0,0,NA
93254,2,2017,Elec- Agricultural,Y,0,0,NA
93254,3,2017,Elec- Agricultural,Y,0,0,NA
93256,1,2017,Elec- Agricultural,Y,0,0,NA
93256,2,2017,Elec- Agricultural,Y,0,0,NA
93256,3,2017,Elec- Agricultural,Y,0,0,NA
93262,1,2017,Elec- Agricultural,Y,0,0,NA
93262,2,2017,Elec- Agricultural,Y,0,0,NA
93262,3,2017,Elec- Agricultural,Y,0,0,NA
93263,1,2017,Elec- Agricultural,Y,0,0,NA
93263,2,2017,Elec- Agricultural,Y,0,0,NA
93263,3,2017,Elec- Agricultural,Y,0,0,NA
93266,1,2017,Elec- Agricultural,Y,0,0,NA
93266,2,2017,Elec- Agricultural,Y,0,0,NA
93266,3,2017,Elec- Agricultural,Y,0,0,NA
93268,1,2017,Elec- Agricultural,Y,0,0,NA
93268,2,2017,Elec- Agricultural,Y,0,0,NA
93268,3,2017,Elec- Agricultural,Y,0,0,NA
93272,1,2017,Elec- Agricultural,Y,0,0,NA
93272,2,2017,Elec- Agricultural,Y,0,0,NA
93272,3,2017,Elec- Agricultural,Y,0,0,NA
93274,1,2017,Elec- Agricultural,Y,0,0,NA
93274,2,2017,Elec- Agricultural,Y,0,0,NA
93274,3,2017,Elec- Agricultural,Y,0,0,NA
93276,1,2017,Elec- Agricultural,Y,0,0,NA
93276,2,2017,Elec- Agricultural,Y,0,0,NA
93276,3,2017,Elec- Agricultural,Y,0,0,NA
93277,1,2017,Elec- Agricultural,Y,0,0,NA
93277,2,2017,Elec- Agricultural,Y,0,0,NA
93277,3,2017,Elec- Agricultural,Y,0,0,NA
93280,1,2017,Elec- Agricultural,Y,0,0,NA
93280,2,2017,Elec- Agricultural,Y,854,12194989,14280
93280,3,2017,Elec- Agricultural,Y,1004,28245831,28133
93286,1,2017,Elec- Agricultural,Y,0,0,NA
93286,2,2017,Elec- Agricultural,Y,0,0,NA
93286,3,2017,Elec- Agricultural,Y,0,0,NA
93291,1,2017,Elec- Agricultural,Y,0,0,NA
93291,2,2017,Elec- Agricultural,Y,0,0,NA
93291,3,2017,Elec- Agricultural,Y,0,0,NA
93292,1,2017,Elec- Agricultural,Y,0,0,NA
93292,2,2017,Elec- Agricultural,Y,0,0,NA
93292,3,2017,Elec- Agricultural,Y,0,0,NA
93301,1,2017,Elec- Agricultural,Y,0,0,NA
93301,2,2017,Elec- Agricultural,Y,0,0,NA
93301,3,2017,Elec- Agricultural,Y,0,0,NA
93304,1,2017,Elec- Agricultural,Y,0,0,NA
93304,2,2017,Elec- Agricultural,Y,0,0,NA
93304,3,2017,Elec- Agricultural,Y,0,0,NA
93305,1,2017,Elec- Agricultural,Y,0,0,NA
93305,2,2017,Elec- Agricultural,Y,0,0,NA
93305,3,2017,Elec- Agricultural,Y,0,0,NA
93306,1,2017,Elec- Agricultural,Y,0,0,NA
93306,2,2017,Elec- Agricultural,Y,0,0,NA
93306,3,2017,Elec- Agricultural,Y,0,0,NA
93307,1,2017,Elec- Agricultural,Y,1009,10180866,10090
93307,2,2017,Elec- Agricultural,Y,1188,13766326,11588
93307,3,2017,Elec- Agricultural,Y,453,9885423,21822
93308,1,2017,Elec- Agricultural,Y,0,0,NA
93308,2,2017,Elec- Agricultural,Y,0,0,NA
93308,3,2017,Elec- Agricultural,Y,573,10001022,17454
93309,1,2017,Elec- Agricultural,Y,0,0,NA
93309,2,2017,Elec- Agricultural,Y,0,0,NA
93309,3,2017,Elec- Agricultural,Y,0,0,NA
93311,1,2017,Elec- Agricultural,Y,0,0,NA
93311,2,2017,Elec- Agricultural,Y,0,0,NA
93311,3,2017,Elec- Agricultural,Y,0,0,NA
