ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM,DATE,TOTALKBTU
92304,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
92304,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
92304,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
92365,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
92365,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
92365,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93203,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93203,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93203,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93204,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93204,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93204,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93210,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93210,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93210,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93224,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93224,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93224,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93234,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93234,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93234,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93239,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93239,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93239,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93252,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93252,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93252,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93263,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93263,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93263,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93268,1,2017,Gas- Commercial,Y,265,48606,183,2017-01-01,4859438.3166
93268,2,2017,Gas- Commercial,Y,264,30433,115,2017-02-01,3042572.6513
93268,3,2017,Gas- Commercial,Y,264,25786,98,2017-03-01,2577983.7146
93280,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93280,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93280,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93301,1,2017,Gas- Commercial,N,1159,321229,277,2017-01-01,32115222.6269
93301,2,2017,Gas- Commercial,N,1159,201964,174,2017-02-01,20191573.0604
93301,3,2017,Gas- Commercial,N,1155,173088,150,2017-03-01,17304663.1968
93304,1,2017,Gas- Commercial,N,618,148297,240,2017-01-01,14826155.7017
93304,2,2017,Gas- Commercial,N,620,101902,164,2017-02-01,10187764.5422
93304,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93305,1,2017,Gas- Commercial,N,506,141284,279,2017-01-01,14125023.3124
93305,2,2017,Gas- Commercial,N,506,89482,177,2017-02-01,8946061.3802
93305,3,2017,Gas- Commercial,N,507,78431,155,2017-03-01,7841225.4991
93306,1,2017,Gas- Commercial,N,368,143965,391,2017-01-01,14393059.2365
93306,2,2017,Gas- Commercial,N,369,103633,281,2017-02-01,10360823.1713
93306,3,2017,Gas- Commercial,N,370,98620,267,2017-03-01,9859642.982
93307,1,2017,Gas- Commercial,Y,650,230768,355,2017-01-01,23071284.6448
93307,2,2017,Gas- Commercial,Y,1184,291353,246,2017-02-01,29128336.6633
93307,3,2017,Gas- Commercial,Y,1806,360608,200,2017-03-01,36052181.4688
93308,1,2017,Gas- Commercial,Y,512,139551,273,2017-01-01,13951764.7311
93308,2,2017,Gas- Commercial,Y,510,90756,178,2017-02-01,9073430.9316
93308,3,2017,Gas- Commercial,Y,515,82177,160,2017-03-01,8215735.9697
93309,1,2017,Gas- Commercial,N,396,131221,331,2017-01-01,13118963.8181
93309,2,2017,Gas- Commercial,Y,437,102678,235,2017-02-01,10265345.9958
93309,3,2017,Gas- Commercial,Y,435,101259,233,2017-03-01,10123479.9099
93311,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93311,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93311,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93313,1,2017,Gas- Commercial,Y,572,215890,377,2017-01-01,21583840.229
93313,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93313,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93314,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93314,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93314,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93432,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93432,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93432,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93446,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93446,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93446,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93450,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93450,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93450,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93461,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93461,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93461,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93516,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93516,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93516,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93523,1,2017,Gas- Commercial,Y,0,0,NA,2017-01-01,0
93523,2,2017,Gas- Commercial,Y,0,0,NA,2017-02-01,0
93523,3,2017,Gas- Commercial,Y,0,0,NA,2017-03-01,0
93555,1,2017,Gas- Commercial,Y,624,213327,342,2017-01-01,21327601.4847
