CUSTOMERCLASS,DATE,TOTALKBTU
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,4859438.3166
Gas- Commercial,2017-02-01,3042572.6513
Gas- Commercial,2017-03-01,2577983.7146
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,32115222.6269
Gas- Commercial,2017-02-01,20191573.0604
Gas- Commercial,2017-03-01,17304663.1968
Gas- Commercial,2017-01-01,14826155.7017
Gas- Commercial,2017-02-01,10187764.5422
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,14125023.3124
Gas- Commercial,2017-02-01,8946061.3802
Gas- Commercial,2017-03-01,7841225.4991
Gas- Commercial,2017-01-01,14393059.2365
Gas- Commercial,2017-02-01,10360823.1713
Gas- Commercial,2017-03-01,9859642.982
Gas- Commercial,2017-01-01,23071284.6448
Gas- Commercial,2017-02-01,29128336.6633
Gas- Commercial,2017-03-01,36052181.4688
Gas- Commercial,2017-01-01,13951764.7311
Gas- Commercial,2017-02-01,9073430.9316
Gas- Commercial,2017-03-01,8215735.9697
Gas- Commercial,2017-01-01,13118963.8181
Gas- Commercial,2017-02-01,10265345.9958
Gas- Commercial,2017-03-01,10123479.9099
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,21583840.229
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,21327601.4847
Gas- Commercial,2017-02-01,12543601.3626
Gas- Commercial,2017-03-01,9549017.2393
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,5749625.511
Gas- Commercial,2017-02-01,3658925.3078
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,47850560.982
Gas- Commercial,2017-02-01,31523963.9715
